ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2017/09/07,37.5953,57.2263
2017/09/08,36.9822,59.7174
2017/09/11,37.6513,60.8790
2017/09/12,37.5021,61.4039
2017/09/13,37.2200,61.9077
2017/09/14,36.9006,62.4325
2017/09/15,37.2736,61.1380
2017/09/18,36.9915,59.7034
2017/09/19,37.0055,60.4382
2017/09/20,36.3854,61.1659
2017/09/21,35.7605,61.1659
2017/09/22,35.4109,61.2149
2017/09/25,35.0985,60.5782
2017/09/26,35.7023,59.7244
2017/09/27,35.9564,59.3046
2017/09/28,35.7349,62.2506
2017/09/29,35.9307,62.1806
2017/10/02,35.8585,63.2512
2017/10/03,36.0147,62.7684
2017/10/04,35.7815,62.9084
2017/10/05,36.2268,63.1043
2017/10/06,36.2058,63.3212
2017/10/09,36.3317,63.5241
2017/10/10,36.3457,63.7971
2017/10/11,36.4973,64.6437
2017/10/12,36.3690,64.4182
2017/10/13,36.5998,63.8898
2017/10/16,37.2736,64.1505
2017/10/17,37.4112,64.9467
2017/10/18,37.2456,67.6737
2017/10/19,36.3644,67.9838
2017/10/20,36.4273,67.7160
2017/10/23,36.4087,66.5956
2017/10/24,36.6255,64.6085
2017/10/25,36.4646,64.6649
2017/10/26,36.6978,63.1076
2017/10/27,38.0126,64.7776
2017/10/30,38.8682,64.0941
2017/10/31,39.4091,63.5938
2017/11/01,38.9079,65.1370
2017/11/02,39.1923,64.1364
2017/11/03,40.2158,65.0454
2017/11/06,40.6237,65.5034
2017/11/07,40.7543,66.2080
2017/11/08,41.0877,67.4412
2017/11/09,41.0038,67.5680
2017/11/10,40.8680,67.2439
2017/11/13,40.7043,67.0254
2017/11/14,40.0889,66.7647
2017/11/15,39.5601,66.0671
2017/11/16,40.0328,66.5674
2017/11/17,39.8105,65.9614
2017/11/20,39.7707,65.9544
2017/11/21,40.5101,66.7154
2017/11/22,40.9359,66.5674
2017/11/24,40.9382,66.7436
2017/11/27,40.7323,67.2368
2017/11/28,40.4937,67.2368
2017/11/29,39.6537,67.5187
2017/11/30,40.2083,68.2938
2017/12/01,40.0211,67.8710
2017/12/04,39.7286,67.0959
2017/12/05,39.6912,67.2298
2017/12/06,39.5438,66.5181
2017/12/07,39.6163,66.4054
2017/12/08,39.6280,67.6103
2017/12/11,40.4001,67.9767
2017/12/12,40.1732,67.8569
2017/12/13,40.3065,68.5968
2017/12/14,40.2948,67.8569
2017/12/15,40.7043,68.6672
2017/12/18,41.2775,69.1887
2017/12/19,40.8376,68.9984
2017/12/20,40.7932,68.6391
2017/12/21,40.9476,68.9914
2017/12/22,40.9476,69.2028
2017/12/26,39.9088,68.8786
2017/12/27,39.9158,69.1182
2017/12/28,40.0281,68.9068
2017/12/29,39.5952,68.1458
2018/01/02,40.3042,69.3437
2018/01/03,40.2972,70.4288
2018/01/04,40.4843,70.0272
2018/01/05,40.9453,71.2462
2018/01/08,40.7932,70.1047
2018/01/09,40.7885,70.6332
2018/01/10,40.7791,70.2457
2018/01/11,41.0108,70.4515
2018/01/12,41.4343,71.2108
2018/01/16,41.2237,72.7367
2018/01/17,41.9045,74.0638
2018/01/18,41.9420,73.6735
2018/01/19,41.7548,74.2625
2018/01/22,41.4132,75.5754
2018/01/23,41.4226,74.7877
2018/01/24,40.7628,74.8799
2018/01/25,40.0351,76.8600
2018/01/26,40.1287,87.4415
2018/01/29,39.2981,86.8028
2018/01/30,39.0665,82.2395
2018/01/31,39.1741,79.6420
2018/02/01,39.2560,82.5659
2018/02/02,37.5527,81.7356
2018/02/05,36.6144,77.7187
2018/02/06,38.1446,78.9181
2018/02/07,37.3280,80.6356
2018/02/08,36.3009,76.9878
2018/02/09,36.7449,78.9891
2018/02/12,38.2249,79.4362
2018/02/13,38.6079,79.3865
2018/02/14,39.3197,80.2524
2018/02/15,40.6400,81.5440
2018/02/16,40.5084,84.1699
2018/02/20,40.3722,83.7299
2018/02/21,40.1889,83.6802
2018/02/22,40.5249,83.4318
2018/02/23,41.2297,84.2763
2018/02/26,42.0449,86.2564
2018/02/27,41.9086,83.9286
2018/02/28,41.8452,82.2040
2018/03/01,41.1122,80.7917
2018/03/02,41.3965,81.6434
2018/03/05,41.5398,82.0834
2018/03/06,41.5045,81.3027
2018/03/07,41.1192,81.4163
2018/03/08,41.5680,83.0414
2018/03/09,42.2821,84.6596
2018/03/12,42.6909,83.9570
2018/03/13,42.2798,84.9860
2018/03/14,41.9203,84.4112
2018/03/15,41.9697,81.5653
